日期时间 (UTC+8),校准后_Unix时间戳,原始_LAS_GPS时间戳,状态,该秒内点数
2024-02-28 14:54:08,1709103248,393138097.037333,间隔于 1 & 2,0
2024-02-28 14:54:09,1709103249,393138098.037333,间隔于 1 & 2,0
2024-02-28 14:54:10,1709103250,393138099.037333,间隔于 1 & 2,0
2024-02-28 14:54:11,1709103251,393138100.037333,间隔于 1 & 2,0
2024-02-28 14:54:12,1709103252,393138101.037333,间隔于 1 & 2,0
2024-02-28 14:54:13,1709103253,393138102.037333,间隔于 1 & 2,0
2024-02-28 14:54:14,1709103254,393138103.037333,间隔于 1 & 2,0
2024-02-28 14:54:15,1709103255,393138104.037333,间隔于 1 & 2,0
2024-02-28 14:54:16,1709103256,393138105.037333,间隔于 1 & 2,0
2024-02-28 14:54:17,1709103257,393138106.037333,间隔于 1 & 2,0
2024-02-28 14:54:18,1709103258,393138107.037333,间隔于 1 & 2,0
2024-02-28 14:54:19,1709103259,393138108.037333,间隔于 1 & 2,0
2024-02-28 14:54:20,1709103260,393138109.037333,间隔于 1 & 2,0
2024-02-28 14:54:21,1709103261,393138110.037333,间隔于 1 & 2,0
2024-02-28 14:54:22,1709103262,393138111.037333,间隔于 1 & 2,0
2024-02-28 14:54:23,1709103263,393138112.037333,间隔于 1 & 2,0
2024-02-28 14:54:24,1709103264,393138113.037333,间隔于 1 & 2,0
2024-02-28 14:54:25,1709103265,393138114.037333,间隔于 1 & 2,0
2024-02-28 14:54:26,1709103266,393138115.037333,间隔于 1 & 2,0
2024-02-28 14:54:27,1709103267,393138116.037333,间隔于 1 & 2,0
2024-02-28 14:54:28,1709103268,393138117.037333,间隔于 1 & 2,0
2024-02-28 14:54:29,1709103269,393138118.037333,间隔于 1 & 2,0
2024-02-28 14:54:30,1709103270,393138119.037333,间隔于 1 & 2,0
2024-02-28 14:54:31,1709103271,393138120.037333,间隔于 1 & 2,0
2024-02-28 14:54:32,1709103272,393138121.037333,间隔于 1 & 2,0
2024-02-28 14:54:33,1709103273,393138122.037333,间隔于 1 & 2,0
2024-02-28 14:54:34,1709103274,393138123.037333,间隔于 1 & 2,0
2024-02-28 14:54:35,1709103275,393138124.037333,间隔于 1 & 2,0
2024-02-28 14:54:36,1709103276,393138125.037333,间隔于 1 & 2,0
2024-02-28 14:54:37,1709103277,393138126.037333,间隔于 1 & 2,0
2024-02-28 14:54:38,1709103278,393138127.037333,间隔于 1 & 2,0
2024-02-28 14:54:39,1709103279,393138128.037333,间隔于 1 & 2,0
2024-02-28 14:54:40,1709103280,393138129.037333,间隔于 1 & 2,0
